1,Museo,Historia,Casa de la Gatronomía Peruana,Centro Histórico de Lima,Jr. Conde de Superunda 170,-12.0444098,-77.031377,Mar-Dom de 9am- 5pm,Ingreso Libre,4267264,direccion_museos@mcultura.gob.pe,-,,,,
2,Museo,Historia,Casa de la Literatura Peruana,Centro Histórico de Lima,Jr. Ancash 207,-9.3250497,-77.5619419,Mar-Dom de 10:30 am - 7:00pm,Ingreso Libre,4262573,casadelaliteratura@gmail.com,www.casadelaliteratura.gob.pe,,,,
3,Museo,Historia,Casa Museo de Sitio Bodega y Quadra,Centro Histórico de Lima,Jr. Ancash Lima 209-217,-12.044504,-77.0285395,Mar-Dom de 9am- 5pm,Ingreso Libre,4270675,mfhon@emilima.cm.pe,-,,,,
4,Museo,Historia,Museo Casa José Carlos Mariátegui,Centro Histórico de Lima,Jr. Washington 1946,-12.06380976,-77.038984,Mar-Vier 9-1 y de 2-5:45/Sábado 9-1 p.m.,Ingreso Libre,3306074,casamariategui@mcultura.gob.pe,http://mariategui.org,,,,
5,Museo,Historia,Museo de Sitio Cerro San Cristóbal,Centro Histórico de Lima,Cerro San Cristóbal,-11.4033333,-76.9505556,Lun -Dom 9-6 p.m.,Adulto 5 y escolar 1,7131358,Ministerio de Cultura,-,,,,
6,Museo,Historia,Museo Combatientes del Morro de Arica,Centro Histórico de Lima,Jr. Cailloma 125,-12.2057409,-76.9775644,Lun -Vier 9-3 Sáb de 9 -1,Adulto 3 Escolar 2 Extr 5,4270958,bolognesi.museos@hotmail.com,-,,,,
7,Museo,Historia,"Museo de la Compañía de Bomberos ""La Salvadora"" Lima 10",Centro Histórico de Lima,Jr. de la Unión 1027,-12.0523051,-77.0354422,Lun-Dom 8 a.m.-8 p.m.,Ingreso Libre,4280288,rigcavi@hotmail.com,-,,,,
8,Museo,Historia,Museo Electoral y de la Democracia,Centro Histórico de Lima,Av. Nicolás de Piérola 1070,-12.0529303,-77.0325677,Lun-Ver 8-4,Ingreso Libre,3111700 Anexo 2031,museoelectoral@jne.gob.pe,-,,,,
9,Museo,Historia,Museo Gráfico el Peruano,Centro Histórico de Lima,Jr. Quilca 556,-16.4016332,-71.5375743,Lun -Vier 9-5,Ingreso Libre,3150400 Anexo 2210,-,www.editoraperu.com.pe,,,,
10,Museo,Historia,Museo de la Identificación - RENIEC,Centro Histórico de Lima,Av. Bolivia 144. Torre II piso 2º. Centro Cívico de Lima,-12.0561584,-77.037887,Lun -Dom 9-5,Ingreso Libre,3152700 Anexo 1158,museo@reniec.gob.pe,-,,,,
11,Museo,Historia,Museo del Congreso y de la Inquisición,Centro Histórico de Lima,Jr. Junín 548,-12.0481632,-77.0250472,Lun-Viern 9-5,Ingreso Libre,3117777,museo@congreso.com.pe,www.congreso.gob.pe,,,,
12,Museo,Historia,Museo Metropolitano de Lima,Centro Histórico de Lima,Av. 28 de Julio con Av. Garcilaso de la Vega,-12.0635841,-77.0368364,Mar -Dom9-5,Tarifa general S/: 4,4337122,,https://www.facebook.com/pages/Museo-Metropolitano-de-Lima/223846547692079,,,,
13,Museo,Historia,Museo Numismático del Perú,Centro Histórico de Lima,Jr. Junín 871 (Tribunal de Cuentas),-12.0492099,-77.0241487, Lun- Vier 10 am a 4:30pm,Ingreso Libre,613200 Anexo 5951,museo@bcrp.gob.pe,http://www.viabcp.com/zona_publica/04_banco/index.asp?SEC=4&JER=1845,,,,
14,Museo,Historia,Museo Taurino Plaza de Toros Acho,Centro Histórico de Lima,Jr. Hualgayoc 332,-12.04138764,-77.02342987,Lu-Vie 8:30- 4:30,"Nac3, Extr 5 y Niños 1",4811467,emoreno@sblm.gob.pe,-,,,,
15,Museo,Historia,Museo Municipal del Teatro,Centro Histórico de Lima,Jr. Huancavelica 332,-12.051725,-77.043129,Mar - Dom 9:30 a 5:00pm,Ingreso Libre,2098400,teatrosmunicipales@munlima.gob.pe,-,,,,
16,Museo,Historia,Museo Panteón Nacional de los Próceres,Centro Histórico de Lima,Parque Universitario (Casona de San Marcos),-12.9992613,-75.837054,Lun-Dom 10-5,Publico General S/.1,4278157,elisa_ruavargas@yahoo.es,-,,,,
84,Galería,Arte,Galería Municiapal de Arte Pancho Fierro,Lima Metropolitana,Pasaje Santa Rosa 114 Centro Histórico de Lima,-12.0453473,-77.0315905,Mar -Dom 10a.m. a 08 p.m.,Ingreso Libre,3151543,galeriapanchofierro@munlima.gob.pe,,,,,
85,Galería,Arte,Casa Rimac,Rimac,Jr. Junín 323 Centro Histórico de Lima,-12.0464085,-77.0286656,mart a vier de 10ama 8pm -  sabds y dom de 1pm a 8pm,Ingreso Libre,,,,,,,
35,Museo,Arte,Museo de Arte de Lima (MALI),Centro Histórico de Lima,Paseo Colón 125,-12.0464085,-77.0370004,Mar -Dom 10-8  Sáb 10-5,Ingreso Libre de L a S- Domingo s/1,4234732,informes@mali.pe,http://museoarte.perucultural.org.pe/,,,,
